perturbation_type,Total,Correct,Accuracy,Avg Similarity
ambiguous_pronouns,2100,966,46.0,0.6524
typos,2100,905,43.1,0.5167
under_specification,2100,670,31.9,0.7078
synonym_substitution,2100,643,30.62,0.3937
incomplete_joins,401,114,28.43,0.5224
original,2100,515,24.52,0.336
column_variations,1773,280,15.79,0.2686
implicit_business_logic,1189,120,10.09,0.199
missing_where_details,1189,113,9.5,0.2739
vague_aggregation,300,15,5.0,0.3808
relative_temporal,270,3,1.11,0.0845
