Experiment,Model,Method,Total Tests,Accuracy (%),Avg TED Score,Parse Errors (%),Mismatch (%),Std Dev TED
Gemini Systematic,Gemini,SYSTEMATIC,16272,60.68092428711898,0.9001799424781399,0.15363815142576204,39.14085545722713,0.14339900884274454
Gemini Llm,Gemini,LLM,3960,65.65656565656566,0.9424821080452129,0.35353535353535354,33.939393939393945,0.09615649506554913
Deepseek Systematic,Deepseek,SYSTEMATIC,15622,27.806938932275,0.43906511814924304,49.43669184483421,22.756369222890797,0.451751133251496
Deepseek Llm,Deepseek,LLM,16142,19.64440589765828,0.47420703365854644,42.6217321273696,37.73386197497212,0.4286192779035814
