Complexity,Perturbation,Accuracy,Avg TED,Count,Experiment,Model
simple,missing_where_details,62.5615763546798,0.9314857267115805,203,gemini_llm,gemini
simple,original,90.81632653061224,0.9821598517600924,392,gemini_llm,gemini
simple,relative_temporal,87.5,0.9737527097628117,48,gemini_llm,gemini
simple,synonym_substitution,89.54081632653062,0.975335174476947,392,gemini_llm,gemini
simple,typos,89.769820971867,0.9786875840429657,391,gemini_llm,gemini
simple,under_specification,12.244897959183673,0.892041204245966,392,gemini_llm,gemini
advanced,ambiguous_pronouns,7.333333333333333,0.5686218786397127,300,deepseek_systematic,deepseek
advanced,column_variations,0.6666666666666667,0.17234043042187258,300,deepseek_systematic,deepseek
advanced,implicit_business_logic,1.0,0.19900118911745857,300,deepseek_systematic,deepseek
advanced,incomplete_joins,0.0,0.0,101,deepseek_systematic,deepseek
advanced,missing_where_details,1.3333333333333335,0.18113109581521888,300,deepseek_systematic,deepseek
advanced,original,1.3333333333333335,0.20503567956962387,300,deepseek_systematic,deepseek
advanced,relative_temporal,0.0,0.317623418582828,57,deepseek_systematic,deepseek
advanced,synonym_substitution,0.33333333333333337,0.15736719530666676,300,deepseek_systematic,deepseek
advanced,typos,1.3333333333333335,0.15766148395193577,300,deepseek_systematic,deepseek
advanced,under_specification,0.33333333333333337,0.5036077608945877,300,deepseek_systematic,deepseek
aggregate,ambiguous_pronouns,13.0,0.35464892680959265,300,deepseek_systematic,deepseek
aggregate,column_variations,8.0,0.2519663397042586,300,deepseek_systematic,deepseek
aggregate,original,10.666666666666668,0.2958606274875066,300,deepseek_systematic,deepseek
aggregate,synonym_substitution,17.0,0.46630385605385605,300,deepseek_systematic,deepseek
aggregate,typos,5.0,0.24123108066275484,300,deepseek_systematic,deepseek
aggregate,under_specification,0.0,0.5615496264155712,300,deepseek_systematic,deepseek
aggregate,vague_aggregation,5.0,0.38081222576065193,300,deepseek_systematic,deepseek
delete,ambiguous_pronouns,47.66666666666667,0.8167136763586648,300,deepseek_systematic,deepseek
delete,column_variations,12.666666666666668,0.1373437506084857,300,deepseek_systematic,deepseek
delete,implicit_business_logic,13.333333333333334,0.20176599996723835,300,deepseek_systematic,deepseek
delete,missing_where_details,10.666666666666668,0.3536177342846793,300,deepseek_systematic,deepseek
delete,original,11.666666666666666,0.12829148428881534,300,deepseek_systematic,deepseek
delete,relative_temporal,0.0,0.0,74,deepseek_systematic,deepseek
delete,synonym_substitution,43.0,0.4172825740822645,300,deepseek_systematic,deepseek
delete,typos,81.66666666666667,0.8028125587281775,300,deepseek_systematic,deepseek
delete,under_specification,75.33333333333333,0.8999622291021672,300,deepseek_systematic,deepseek
insert,ambiguous_pronouns,100.0,1.0,300,deepseek_systematic,deepseek
insert,original,77.33333333333333,0.7733333333333333,300,deepseek_systematic,deepseek
insert,synonym_substitution,77.0,0.77,300,deepseek_systematic,deepseek
insert,typos,98.66666666666667,0.9554216269841269,300,deepseek_systematic,deepseek
insert,under_specification,100.0,1.0,300,deepseek_systematic,deepseek
join,ambiguous_pronouns,41.66666666666667,0.6465687844078389,300,deepseek_systematic,deepseek
join,column_variations,7.000000000000001,0.31025806031675324,300,deepseek_systematic,deepseek
join,implicit_business_logic,6.0606060606060606,0.23584142041970607,132,deepseek_systematic,deepseek
join,incomplete_joins,38.0,0.6982423481613089,300,deepseek_systematic,deepseek
join,missing_where_details,2.272727272727273,0.2845341365878187,132,deepseek_systematic,deepseek
join,original,8.0,0.3140559072067054,300,deepseek_systematic,deepseek
join,relative_temporal,3.571428571428571,0.09855442176870748,28,deepseek_systematic,deepseek
join,synonym_substitution,25.333333333333336,0.41672172678593844,300,deepseek_systematic,deepseek
join,typos,13.0,0.38445273974080807,300,deepseek_systematic,deepseek
join,under_specification,0.0,0.7305670568486758,300,deepseek_systematic,deepseek
simple,ambiguous_pronouns,68.66666666666667,0.7530338600336198,300,deepseek_systematic,deepseek
simple,column_variations,38.82783882783883,0.46042965267902736,273,deepseek_systematic,deepseek
simple,implicit_business_logic,26.751592356687897,0.3057189306447036,157,deepseek_systematic,deepseek
simple,missing_where_details,19.10828025477707,0.34931450428474164,157,deepseek_systematic,deepseek
simple,original,50.0,0.5114954430101488,300,deepseek_systematic,deepseek
simple,relative_temporal,5.88235294117647,0.05709342560553633,34,deepseek_systematic,deepseek
simple,synonym_substitution,47.0,0.48411348344140764,300,deepseek_systematic,deepseek
simple,typos,46.666666666666664,0.5158199738481206,300,deepseek_systematic,deepseek
simple,under_specification,12.0,0.8317587006491798,300,deepseek_systematic,deepseek
update,ambiguous_pronouns,43.666666666666664,0.42747770955004993,300,deepseek_systematic,deepseek
update,column_variations,29.666666666666668,0.2967148074148074,300,deepseek_systematic,deepseek
update,implicit_business_logic,9.0,0.12412782526115859,300,deepseek_systematic,deepseek
update,missing_where_details,14.666666666666666,0.24296610574020472,300,deepseek_systematic,deepseek
update,original,12.666666666666668,0.12395897435897436,300,deepseek_systematic,deepseek
update,relative_temporal,0.0,0.0,77,deepseek_systematic,deepseek
update,synonym_substitution,4.666666666666667,0.04413333333333334,300,deepseek_systematic,deepseek
update,typos,55.333333333333336,0.5594617923045032,300,deepseek_systematic,deepseek
update,under_specification,35.66666666666667,0.42719674523007856,300,deepseek_systematic,deepseek
advanced,ambiguous_pronouns,1.6666666666666667,0.48534835527701053,300,deepseek_llm,deepseek
advanced,column_variations,4.0,0.26100984149629075,300,deepseek_llm,deepseek
advanced,implicit_business_logic,0.0,0.5094362970656441,292,deepseek_llm,deepseek
advanced,incomplete_joins,0.0,0.3235895359548966,119,deepseek_llm,deepseek
advanced,missing_where_details,1.0169491525423728,0.29127417273088774,295,deepseek_llm,deepseek
advanced,original,4.0,0.29371257219827834,300,deepseek_llm,deepseek
