perturbation_type,Total,Correct,Accuracy,Avg Similarity
relative_temporal,284,223,78.52,0.8709
synonym_substitution,2192,1669,76.14,0.931
original,2192,1611,73.49,0.9328
typos,2191,1588,72.48,0.9243
implicit_business_logic,1236,853,69.01,0.892
column_variations,1857,1211,65.21,0.9128
ambiguous_pronouns,2192,1277,58.26,0.901
missing_where_details,1235,471,38.14,0.8342
incomplete_joins,401,143,35.66,0.8912
under_specification,2192,781,35.63,0.8581
vague_aggregation,300,47,15.67,0.8296
