perturbation_type,Total,Correct,Accuracy,Avg Similarity
relative_temporal,500,203,40.6,0.5373
column_variations,2078,657,31.62,0.4366
typos,2100,659,31.38,0.3874
original,2100,612,29.14,0.3666
under_specification,2008,369,18.38,0.5518
synonym_substitution,2089,264,12.64,0.4748
ambiguous_pronouns,1811,221,12.2,0.5685
incomplete_joins,424,31,7.31,0.4998
missing_where_details,1312,87,6.63,0.3836
implicit_business_logic,1420,61,4.3,0.593
vague_aggregation,300,7,2.33,0.6952
