perturbation_type,Total,Correct,Accuracy,Avg Similarity
synonym_substitution,541,480,88.72,0.9708
typos,540,453,83.89,0.9732
original,541,452,83.55,0.9747
implicit_business_logic,270,224,82.96,0.9577
relative_temporal,62,50,80.65,0.962
column_variations,506,375,74.11,0.9559
missing_where_details,269,154,57.25,0.8854
ambiguous_pronouns,541,286,52.87,0.9343
incomplete_joins,149,78,52.35,0.917
under_specification,541,48,8.87,0.8723
