perturbation_type,Total,Correct,Accuracy,Avg Similarity
vague_aggregation,4,3,75.0,0.7828
column_variations,24,12,50.0,0.8732
incomplete_joins,8,4,50.0,0.8201
original,28,13,46.43,0.8603
typos,28,13,46.43,0.8455
ambiguous_pronouns,28,11,39.29,0.7698
synonym_substitution,28,9,32.14,0.8502
under_specification,28,9,32.14,0.7026
implicit_business_logic,16,5,31.25,0.8492
missing_where_details,16,5,31.25,0.7774
relative_temporal,4,0,0.0,0.9024
